Company,Applied,Career Page,Location,Notes,Priority,Referral Contact,Region,S.No,Sector,Tier
Point72,No,https://point72.com/careers,Stamford,,,,US,1,Quant / HFT,SSS
Tower Research,No,https://tower-research.com/careers,New York,,,,US,2,Quant / HFT,SS-
Voleon,No,https://voleon.com/careers,Berkeley,,,,US,3,Quant / HFT,SS
Five Rings,No,https://fiverings.com/careers,New York,,,,US,4,Quant / HFT,SS
Schonfeld,No,https://schonfeld.com/careers,New York,,,,US,5,Quant / HFT,S
Virtu Financial,No,https://virtu.com/careers,New York,,,,US,6,Quant / HFT,SS-
Ridgeway,No,https://ridgeway.com/careers,New York,,,,US,7,Quant / HFT,SSS
Balyasny Asset Management,No,https://balyasny.com/careers,Chicago,,,,US,8,Quant / HFT,S
Optiver,No,https://optiver.com/careers,Amsterdam / Chicago,,,Alice Collins (Interview),Global,9,Quant / HFT,SS
TGS,No,https://tgsco.com,New York,,,,US,10,Quant / HFT,God Tier
Meta,No,https://metacareers.com,Menlo Park / NY,,,,US,100,Big Tech,A+
Google,No,https://careers.google.com,Mountain View,,,Friend (via Maitrayee); Prajakta Pikale (VIIT); Siddarth Awasthi (QACS),US,91,Big Tech,A+
NVIDIA,No,https://nvidia.com/careers,Santa Clara,,,Shivam Parve (VIIT); Sananya Majumdar (UCSD),US,92,Big Tech,S
OpenAI,No,https://openai.com/careers,San Francisco,,,,US,66,AI / LLM,S
Anthropic,No,https://anthropic.com/careers,San Francisco,,,,US,57,AI / LLM,S
Databricks,No,https://databricks.com/careers,San Francisco,,,,US,38,ML Infra / MLOps,A+
Jane Street,No,https://janestreet.com/careers,New York,,,,US,24,Quant / HFT,SSS
Jump Trading,No,https://jumptrading.com/careers,Chicago,,,,US,33,Quant / HFT,SSS
Citadel Securities,No,https://citadelsecurities.com/careers,Chicago / NY / Miami,,,,US,34,Quant / HFT,SSS
Microsoft,No,https://careers.microsoft.com,Redmond / Remote,,,Abhay Bhopat (Katole uncle); Aman Jha (via Maitrayee); Kumud Verma (via Maitrayee),US,107,Big Tech,A+
Amazon,No,https://amazon.jobs,Seattle / Remote,,,Abhayjeeet Sodhi (via Srirang Lonkar); Vaibhav Masare (via Baba); Dingyi Wu (UCSD); Kate Rebelo (UCSD); Shweta Nalluri (UCSD),US,80,Big Tech,B+
Apple,No,https://jobs.apple.com,Cupertino,,,Peyush (via Baba); Rijul Sheratia (UCSD); Asif Amanullah (Datahacks),US,81,Big Tech,A+
Tesla,No,https://tesla.com/careers,Austin / Palo Alto,,,Mayukh Singh (via Maitrayee),US,105,Big Tech,A+
